Chemicals	rxns	rxnNames	formulas	grRules	c	lb	ub	proteins	kcats	MWs	EC_number	¦Ì	qO2	ATP	Medium	Carbon source	deletion	
EPA	EPA_20	EPA-CoA transport	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[erm] => (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p]		0	0	1000											
EPA	EPA_21	peroxisomal acyl-CoA thioesterase	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate (DHA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
EPA	EPA_22	EPA transport	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate (DHA)[p] => DHA[e]		0	0	1000											
EPA	EPA_23	EPA exchange	DHA[e] =>		0	0	1000											
																		
DHA	DHA_1	Delta9-desaturase	H+[erm] + stearoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + oleoyl-CoA[erm]	D9D 	0	0	1000	D5KSD1		50.809	1.14.19.1	0.1			Min	glucose		
DHA	DHA_2	Delta12-desaturase	H+[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + linoleoyl-CoA[erm]	D12D 	0	0	1000	Q9Y8H5		46.001	1.14.19.6							
DHA	DHA_3	Omega-3 desaturase	linoleoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (9Z,12Z,15Z)-Octadecatrienoyl-CoA[erm]	FAD3 	0	0	1000	D5KSD6		47.718	1.14.19.-							
DHA	DHA_4	Delta6-desaturase 	linoleoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (6Z,9Z,12Z)-octadecatrienoyl-CoA[erm]	D6D 	0	0	1000	A0A1Y5I9G7		51.674	1.14.19.3							
DHA	DHA_5	Delta6-desaturase 	(9Z,12Z,15Z)-Octadecatrienoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA[erm]	D6D 	0	0	1000	A0A1Y5I9G7		51.674	1.14.19.3							
DHA	DHA_6	Delta6-elongase	(6Z,9Z,12Z)-octadecatrienoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (8Z,11Z,14Z)-eicosatrienoyl-CoA[erm]	D6E 	0	0	1000	D5KSD4		36.746	2.3.1.199							
DHA	DHA_7	Delta6-elongase	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[erm]	D6E 	0	0	1000	D5KSD4		36.746	2.3.1.199							
DHA	DHA_8	Delta-5 desaturase	(8Z,11Z,14Z)-eicosatrienoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[erm]	D5D 	0	0	1000	HQ678517		59.89	1.14.19.44							
DHA	DHA_9	Delta-5 desaturase	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm]	D5D 	0	0	1000	HQ678517		59.89	1.14.19.44							
DHA	DHA_10	ARA-CoA transport	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[erm] => (5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[p]		0	0	1000											
DHA	DHA_11	peroxisomal acyl-CoA thioesterase	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (5Z,8Z,11Z,14Z)-eicosatetraenoate (ARA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
DHA	DHA_12	ARA transport	(5Z,8Z,11Z,14Z)-eicosatetraenoate (ARA)[p] => ARA[e]		0	0	1000											
DHA	DHA_13	ARA exchange	ARA[e] =>		0	0	1000											
DHA	DHA_14	EPA-CoA transport	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm] => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[p]		0	0	1000											
DHA	DHA_15	peroxisomal acyl-CoA thioesterase	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate (EPA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
DHA	DHA_16	EPA transport	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate (EPA)[p] => EPA[e]		0	0	1000											
DHA	DHA_17	EPA exchange	EPA[e] =>		0	0	1000											
DHA	DHA_18	Delta5-elongase	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[erm] + 2 NADPH[erm] + malonyl-CoA[erm] + 3 H+[erm] => coenzyme A[erm] + carbon dioxide[erm] + H2O[erm] + NADP(+)[erm] + (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[erm]		0	0	1000											
DHA	DHA_19	Delta-4 desaturase	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[erm] + oleoyl-CoA[erm] + oxygen[erm] + NADH[erm] => 2 H2O[erm] + NAD[erm] + (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[erm]		0	0	1000											
DHA	DHA_20	EPA-CoA transport	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[erm] => (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p]		0	0	1000											
DHA	DHA_21	peroxisomal acyl-CoA thioesterase	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p] + H2O[p] => H+[p] + coenzyme A[p] + (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate (DHA)[p]	YJR019C	0	0	1000	P41903			3.1.2.2							
DHA	DHA_22	EPA transport	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate (DHA)[p] => DHA[e]		0	0	1000											
DHA	DHA_23	EPA exchange	DHA[e] =>		1	0	1000											
 																		
n-butanol	n-butanol_1	Citramalate synthase	pyruvate[m] + acetyl-CoA[m] => (R)-Citramalate[m]	cimA 	0	0	1000	A0FDH8	18.6	47.186	2.3.1.182	0.1			YEP	glucose	YOL086C	
n-butanol	n-butanol_2	citraconate hydratase	(R)-Citramalate[m] + H2O[m] => 2-Methylmaleate[m]	LEU1m 	0	0	1000	P07264ly	18.54	85.794	4.2.1.35							
n-butanol	n-butanol_3	2-methylmaleate hydratase	2-Methylmaleate[m] + H2O[m] => D-erythro-3-Methylmalate[m]	LEU1m 	0	0	1000	P07264ly	18.54	85.794	4.2.1.35							
n-butanol	n-butanol_4	3-isopropylmalate dehydrogenase	D-erythro-3-Methylmalate[m] + NAD[m] => 2-oxobutanoate[m] + NADH[m] + H+[m] + carbon dioxide[m]	LEU2m 	0	0	1000	P04173ly	18.1	38.953	1.1.1.85							
n-butanol	n-butanol_5	2-ethylmalate synthase	2-oxobutanoate[m] + H2O[m] + acetyl-CoA[m] => coenzyme A[m] + (R)-2-Ethylmalate[m]	LEU4m 	0	0	1000	P06208ly	27.58	68.409	2.3.3.6							
n-butanol	n-butanol_6	NA	(R)-2-Ethylmalate[m] => 3-Ethylmalate[m]	LEU1m 	0	0	1000	P07264ly	18.54	85.794	4.2.1.35							
n-butanol	n-butanol_7	NA	3-Ethylmalate[m] + NAD[m] => NADH[m] + H+[m] + 3-ethyl-2-oxosuccinate[m]	LEU2m 	0	0	1000	P04173ly	18.1	38.953	1.1.1.85							
n-butanol	n-butanol_8	NA	3-ethyl-2-oxosuccinate[m] + H+[m] => carbon dioxide[m] + alpha-ketovalerate[m]	LEU2m 	0	0	1000	P04173ly	18.1	38.953	1.1.1.85							
n-butanol	n-butanol_9	2-ethylmalate transport	(R)-2-Ethylmalate[m] => (R)-2-Ethylmalate[c]		0	0	1000											
n-butanol	n-butanol_10	alpha-ketovalerate transport	alpha-ketovalerate[m] => alpha-ketovalerate[c]		0	0	1000											
n-butanol	n-butanol_11	NA	(R)-2-Ethylmalate[c] => 3-Ethylmalate[c]	YGL009C	0	0	1000	P07264	18.54	85.794	4.2.1.35							
n-butanol	n-butanol_12	NA	3-Ethylmalate[c] + NAD[c] => NADH[c] + H+[c] + 3-ethyl-2-oxosuccinate[c]	YCL018W	0	0	1000	P04173	18.1	38.953	1.1.1.85							
n-butanol	n-butanol_13	NA	3-ethyl-2-oxosuccinate[c] + H+[c] => carbon dioxide[c] + alpha-ketovalerate[c]	YCL018W	0	0	1000	P04173	18.1	38.953	1.1.1.85							
n-butanol	n-butanol_14	keto-acid decarboxylase	alpha-ketovalerate[c] => butyraldehyde[c] + carbon dioxide[c]	YDR380W	0	0	1000	Q06408	10.4	71.384	4.1.1.43							
n-butanol	n-butanol_15	alcohol dehydrogenase	butyraldehyde[c] + NADH[c] + H+[c] => NAD[c] + n-butanol[c]	YCR105W	0	0	1000	P25377	8.3156	39.348	1.1.1.2							
n-butanol	n-butanol_16	n-butanol transport	n-butanol[c] => n-butanol[e]		0	0	1000											
n-butanol	n-butanol_17	n-butanol exchange	n-butanol[e] =>		1	0	1000											
n-butanol	r_1129 (update)	coenzyme A transport	coenzyme A[c] => coenzyme A[m]	LEU5 	0	0	1000	P38702		40.825	2.A.29.12.4							
n-butanol	r_4173No1	L-cysteine:sulfur-acceptor sulfurtransferase (No1)	(sulfur carrier)-H[m] + L-cysteine[m] => L-alanine[m] + (sulfur carrier)-SH[m]	YCL017C	0	0	1000	P25374	1.74									
n-butanol	r_4173_REVNo1	L-cysteine:sulfur-acceptor sulfurtransferase (reversible) (No1)	L-alanine[m] + (sulfur carrier)-SH[m] => (sulfur carrier)-H[m] + L-cysteine[m]	YCL017C	0	0	1000	P25374	274.1995									
																		
2-phenylethanol	2-phenylethanol_1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4K229L 	0	0	1000	P32449ly	0.215305458	39.7487	2.5.1.54	0.1			Min	glucose	YDR035W,YBR249C,YPR060C,YGL202W	
2-phenylethanol	2-phenylethanol_2	chorismate mutase	chorismate[c] => prephenate[c]	ARO7T226I 	0	0	1000	P32178ly	0.0619725	29.7468	5.4.99.5							
2-phenylethanol	2-phenylethanol_3	Shikimate kinase	shikimate[c] + ATP[c] => 3-phosphoshikimic acid[c] + H+[c] + ADP[c]	aroL 	0	0	1000	P0A6E1	130.8651667	19.151	2.7.1.71							
2-phenylethanol	r_0279No1	chorismate synthase (No1)	5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] => chorismate[c] + phosphate[c]	YGL148W	0	0	1000	P28777	1.74									
2-phenylethanol	r_0026No4	2-keto-4-methylthiobutyrate transamination (No4)	pmet_r_0026[c] => 2-oxoglutarate[c] + L-methionine[c]	YHR137W	0	0	1000	P38840	3080									
2-phenylethanol	r_2117No1	phenylalanine transaminase (No1)	L-phenylalanine[c] + pyruvate[c] => keto-phenylpyruvate[c] + L-alanine[c]	YHR137W	0	0	1000	P38840	2400									
2-phenylethanol	r_2118No1	tryptophan transaminase (No1)	keto-phenylpyruvate[c] + L-tryptophan[c] => indole-3-pyruvate[c] + L-phenylalanine[c]	YHR137W	0	0	1000	P38840	699.9998									
2-phenylethanol	r_2119No1	tyrosine transaminase (No1)	3-(4-hydroxyphenyl)pyruvate[c] + L-alanine[c] => L-tyrosine[c] + pyruvate[c]	YHR137W	0	0	1000	P38840	3080									
2-phenylethanol	r_2117_REVNo1	phenylalanine transaminase (reversible) (No1)	keto-phenylpyruvate[c] + L-alanine[c] => L-phenylalanine[c] + pyruvate[c]	YHR137W	0	0	1000	P38840	3080									
2-phenylethanol	r_2119_REVNo1	tyrosine transaminase (reversible) (No1)	L-tyrosine[c] + pyruvate[c] => 3-(4-hydroxyphenyl)pyruvate[c] + L-alanine[c]	YHR137W	0	0	1000	P38840	999.9992									
2-phenylethanol	r_0938No1	prephenate dehydratase (No1)	H+[c] + prephenate[c] => carbon dioxide[c] + H2O[c] + keto-phenylpyruvate[c]	YNL316C	0	0	1000	P32452	3864									
2-phenylethanol	r_1049No2	transketolase 1 (No2)	pmet_r_1049[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]	YPR074C	0	0	1000	P23254	138.0002									
2-phenylethanol	r_1050No2	transketolase 2 (No2)	pmet_r_1050[c] => D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c]	YPR074C	0	0	1000	P23254	138.0002									
2-phenylethanol	r_1049_REVNo2	transketolase 1 (reversible) (No2)	pmet_r_1049_REV[c] => D-xylulose 5-phosphate[c] + ribose-5-phosphate[c]	YPR074C	0	0	1000	P23254	138.0002									
2-phenylethanol	r_1050_REVNo2	transketolase 2 (reversible) (No2)	pmet_r_1050_REV[c] => D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c]	YPR074C	0	0	1000	P23254	138.0002									
2-phenylethanol	r_0962No1	pyruvate kinase (No1)	pmet_r_0962[c] => ATP[c] + pyruvate[c]	YAL038W	0	0	1000	P00549	115.9998									
2-phenylethanol	r_0854No1	phenylpyruvate decarboxylase (No1)	H+[c] + keto-phenylpyruvate[c] => carbon dioxide[c] + phenylacetaldehyde[c]	YDR380W	0	0	1000	Q06408	2280									
2-phenylethanol	r_0939No1	prephenate dehydrogenase (NADP) (No1)	NADP(+)[c] + prephenate[c] => 3-(4-hydroxyphenyl)pyruvate[c] + carbon dioxide[c] + NADPH[c]	YDR380W	0	0	1000	Q06408	13.15									
2-phenylethanol	r_1589				1	0	Inf											
																		
docosanol	docosanol_1	Fatty acyl-CoA reductase	docosanoyl-CoA[c] + 2 H+[c] + 2 NADPH[c] => docosanol[c] + coenzyme A[c] + 2 NADP(+)[c]	FAR1 	0	0	1000	Q39152		55.481	1.2.1.84	0.1			Min	glucose	YCR048W,YOR245C,YNR019W,YNR008W,YGL205W,YLR372W,YBR020W	
docosanol	docosanol_2	fatty acid synthase 	acetyl-CoA[c] + 21 H+[c] + 7 malonyl-CoA[c] + 14 NADPH[c] => 7 carbon dioxide[c] + 7 coenzyme A[c] + 7 H2O[c] + 14 NADP(+)[c] + palmitoyl-CoA[c]	FAS 	0	0	1000	K0V149	2.04404375	327.047	2.3.1.86							
docosanol	docosanol_3	fatty acid synthase	acetyl-CoA[c] + 24 H+[c] + 8 malonyl-CoA[c] + 16 NADPH[c] => 8 carbon dioxide[c] + 8 coenzyme A[c] + 8 H2O[c] + 16 NADP(+)[c] + stearoyl-CoA[c]	FAS 	0	0	1000	K0V149	2.04404375	327.047	2.3.1.86							
docosanol	docosanol_4	acyl carrier protein synthase	coenzyme A[c] + H2O[c] => adenosine 3',5'-bismonophosphate[c] + 2 H+[c] + pantetheine 4'-phosphate[c]	Acps 	0	0	1000	K0V045		14.161	2.7.8.7							
docosanol	docosanol_5	fatty acid elongase	malonyl-CoA[c] + palmitoyl-CoA[c] + H+[c] => coenzyme A[c] + stearoyl-CoA[c] + carbon dioxide[c]	FAS 	0	0	1000	K0V149	2.04404375	327.047	2.3.1.86							
docosanol	docosanol_6	fatty acid elongase	malonyl-CoA[c] + stearoyl-CoA[c] + H+[c] => coenzyme A[c] + icosanoyl-CoA[c] + carbon dioxide[c]	FAS 	0	0	1000	K0V149	2.04404375	327.047	2.3.1.86							
docosanol	docosanol_7	fatty acid elongase	malonyl-CoA[c] + icosanoyl-CoA[c] + H+[c] => coenzyme A[c] + docosanoyl-CoA[c] + carbon dioxide[c]	FAS 	0	0	1000	K0V149	2.04404375	327.047	2.3.1.86							
docosanol	docosanol_8	docosanol transport	docosanol[c] => docosanol[e]		0	0	1000											
docosanol	docosanol_9	docosanol exchange	docosanol[e] =>		1	0	1000											
docosanol	r_2154No1	elongase I (3-oxotetradecanoyl-CoA) (No1)	lauroyl-CoA[erm] + malonyl-CoA[erm] + H+[erm] => carbon dioxide[erm] + coenzyme A[erm] + 3-oxotetradecanoyl-CoA[erm]	YJL196C	0	0	1000	P39540	5.4									
docosanol	r_2155No1	elongase I (3-oxopalmitoyl-CoA) (No1)	malonyl-CoA[erm] + H+[erm] + myristoyl-CoA[erm] => carbon dioxide[erm] + coenzyme A[erm] + 3-oxopalmitoyl-CoA[erm]	YJL196C	0	0	1000	P39540	27.6									
docosanol	r_2156No1	elongase II (3-oxooctadecanoyl-CoA) (No1)	malonyl-CoA[erm] + H+[erm] + palmitoyl-CoA[erm] => carbon dioxide[erm] + coenzyme A[erm] + 3-oxooctadecanoyl-CoA[erm]	YCR034W	0	0	1000	P25358	5.4									
docosanol	r_2157No1	elongase II or III (3-oxoicosanoyl-CoA) (No1)	pmet_r_2157[erm] => carbon dioxide[erm] + coenzyme A[erm] + 3-oxoicosanoyl-CoA[erm]	YCR034W	0	0	1000	P25358	5.4									
docosanol	r_2158No1	elongase II or III (3-oxodocosanoyl-CoA) (No1)	pmet_r_2158[erm] => carbon dioxide[erm] + coenzyme A[erm] + 3-oxodocosanoyl-CoA[erm]	YCR034W	0	0	1000	P25358	5.4									
docosanol	r_2159No1	elongase II or III (3-oxotetracosanoyl-CoA) (No1)	pmet_r_2159[erm] => carbon dioxide[erm] + coenzyme A[erm] + 3-oxotetracosanoyl-CoA[erm]	YCR034W	0	0	1000	P25358	5.4									
docosanol	r_0109No1	acetyl-CoA carboxylase, reaction (No1)	acetyl-CoA[c] + ATP[c] + bicarbonate[c] + 6.17284e-10 prot_P48445 => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]	YNR016C	0	0	1000	Q00955	65.3426									
																		
Itaconic acid	Itaconic acid_1	cis-aconitic acid decarboxylase	cis-aconitate[c] + H+[c] => carbon dioxide[c] + Itaconic acid[c]	CAD 	0	0	1000	B3IUN8	0.242756323	52.754	4.1.1.6	0.1			YEP	glucose	YJR078W,YJR019C	
Itaconic acid	Itaconic acid_2	itaconic acid transport	Itaconic acid[c] => Itaconic acid[e]		0	0	1000											
Itaconic acid	Itaconic acid_3	itaconic acid exchange	Itaconic acid[e] =>		1	0	1000											
																		
Glutathione	Glutathione_1	gamma-glutamylcysteine synthetase	ATP[c] + L-cysteine[c] + L-glutamate[c] => ADP[c] + H+[c] + L-gamma-glutamyl-L-cysteine[c] + phosphate[c]	GshF 	0	0	1000	D4N892	1167.652667	85.438	6.3.2.2	0.1			YEP	glucose		
Glutathione	Glutathione_2	glutathione synthetase (No1)	ATP[c] + L-gamma-glutamyl-L-cysteine[c] + L-glycine[c] => ADP[c] + glutathione[c] + H+[c] + phosphate[c]	GshF 	0	0	1000	D4N892	1103.574167	85.438	6.3.2.3							
Glutathione	Glutathione_3	glutathione synthetase (No1)	ATP[c] + L-gamma-glutamyl-L-cysteine[c] + L-glycine[c] => ADP[c] + glutathione[c] + H+[c] + phosphate[c]	gshB 	0	0	1000	P04425	151	35.561	6.3.2.3							
Glutathione	Glutathione_4	glutathione transport	glutathione[c] => glutathione[e] 		0	0	1000											
Glutathione	r_0460No1	gamma-glutamylcysteine synthetase (No1)	ATP[c] + L-cysteine[c] + L-glutamate[c] => ADP[c] + H+[c] + L-gamma-glutamyl-L-cysteine[c] + phosphate[c]	YJL101C	0	0	1000	P32477	20380									
Glutathione	r_0485No1	glutathione synthetase (No1)	ATP[c] + L-gamma-glutamyl-L-cysteine[c] + L-glycine[c] => ADP[c] + glutathione[c] + H+[c] + phosphate[c]	YOL049W	0	0	1000	Q08220	26									
Glutathione	r_0468No1	glutamate 5-kinase (No1)	ATP[c] + L-glutamate[c] => ADP[c] + L-gamma-glutamyl phosphate[c]	YDR300C	0	0	1000	P32264	23.03									
Glutathione	r_1807				1	0	Inf											
																		
Ethylene	Ethylene_1	ethylene forming enzyme	2-oxoglutarate[c] + 2 H+[c] + oxygen[c] => H2O[c] + 3 carbon dioxide[c] + Ethylene[c]	efe 	0	0	1000	Q9Z3T0	0.5	38.064	1.13.12.19	0.24			Min	glucose		
Ethylene	Ethylene_2	ethylene transport	Ethylene[c] => Ethylene[e]		0	0	1000											
Ethylene	Ethylene_3	ethylene exchange	Ethylene[e] =>		1	0	1000											
Ethylene	r_1889_REV				0	0	1											
																		
Human Serum Albumin (HSA)	Human Serum Albumin (HSA)_1	production of HAS	0.8928 L-alanine[c] + 0.4032 L-arginine[c] + 0.2448 L-asparagine[c] + 0.5184 L-aspartate[c] + 0.504 L-cysteine[c] + 0.288 L-glutamate[c] + 0.8928 L-glutamine[c] + 0.1872 L-glycine[c] + 0.2304 L-histidine[c] + 0.1296 L-isoleucine[c] + 0.9216 L-leucine[c] + 0.864 L-lysine[c] + 0.1008 L-methionine[c] + 0.504 L-phenylalanine[c] + 0.3456 L-proline[c] + 0.4032 L-serine[c] + 0.4176 L-threonine[c] + 0.0288 L-tryptophan[c] + 0.2736 L-tyrosine[c] + 0.6192 L-valine[c] + 1.22 GTP[c] => HAS[c] + 1.22 GDP[c] + 1.22 phosphate[c]		0	0	1000					0.22	4.6		Min	glucose		
Human Serum Albumin (HSA)	Human Serum Albumin (HSA)_2	HSA transport	HAS[c] => HAS[e]		0	0	1000											
Human Serum Albumin (HSA)	Human Serum Albumin (HSA)_3	HSA exchange	HAS[e] =>		1	0	1000											
																		
¦Á-Amylase	¦Á-Amylase_1	production of ¦Á-Amylase	0.7663 L-alanine[c] + 0.1825 L-arginine[c] + 0.4744 L-asparagine[c] + 0.7663 L-aspartate[c] + 0.1642 L-cysteine[c] + 0.2189 L-glutamate[c] + 0.3649 L-glutamine[c] + 0.7846 L-glycine[c] + 0.1277 L-histidine[c] + 0.5109 L-isoleucine[c] + 0.6751 L-leucine[c] + 0.3649 L-lysine[c] + 0.2007 L-methionine[c] + 0.2737 L-phenylalanine[c] + 0.4014 L-proline[c] + 0.6751 L-serine[c] + 0.7298 L-threonine[c] + 0.2189 L-tryptophan[c] + 0.6386 L-tyrosine[c] + 0.5656 L-valine[c] + GTP[c] => ¦Á-Amylase[c] + GDP[c] + phosphate[c]		0	0	1000					0.2			Min	glucose		
¦Á-Amylase	¦Á-Amylase_2	¦Á-Amylase transport	¦Á-Amylase[c] => ¦Á-Amylase[e]		0	0	1000											
¦Á-Amylase	¦Á-Amylase_3	¦Á-Amylase exchange	¦Á-Amylase[e] =>		1	0	1000											
																		
Hemoglobin	Hemoglobin_1	heme o transport	heme o[m] => heme o[c]		0	0	1000					0.25			Min	glucose		
Hemoglobin	Hemoglobin_2	production of globin	1.1532 L-alanine[c] + 0.1922 L-arginine[c] + 0.3203 L-asparagine[c] + 0.4805 L-aspartate[c] + 0.0961 L-cysteine[c] + 0.3844 L-glutamate[c] + 0.1281 L-glutamine[c] + 0.6407 L-glycine[c] + 0.6087 L-histidine[c] + 1.1532 L-leucine[c] + 0.7048 L-lysine[c] + 0.1602 L-methionine[c] + 0.4805 L-phenylalanine[c] + 0.4485 L-proline[c] + 0.5125 L-serine[c] + 0.5125 L-threonine[c] + 0.0961 L-tryptophan[c] + 0.1922 L-tyrosine[c] + 0.9931 L-valine[c] + 1.16 GTP[c] => globin[c] + 1.16 GDP[c] + 1.16 phosphate[c]		0	0	1000											
Hemoglobin	Hemoglobin_3	production of hemoglobin	globin[c] + 4 heme o[c] => hemoglobin[c]		0	0	1000											
Hemoglobin	Hemoglobin_4	hemoglobin transport	hemoglobin[c] => hemoglobin[e]		0	0	1000											
Hemoglobin	Hemoglobin_5	hemoglobin exchange	hemoglobin[e] =>		1	0	1000											
Hemoglobin	r_0557No1	hydroxymethylbilane synthase (No1)	H2O[c] + 4 porphobilinogen[c] => 4 ammonium[c] + preuroporphyrinogen[c] 	YDL205C	0	0	1000	P28789	0.125									
																		
Glucagon	Glucagon_1	production of glucagon	0.6223 L-alanine[c] + 0.7659 L-arginine[c] + 0.3829 L-asparagine[c] + 0.7659 L-aspartate[c] + 0.6223 L-glutamate[c] + 0.4787 L-glutamine[c] + 0.4308 L-glycine[c] + 0.1915 L-histidine[c] + 0.3829 L-isoleucine[c] + 0.5744 L-leucine[c] + 0.4787 L-lysine[c] + 0.2393 L-methionine[c] + 0.5265 L-phenylalanine[c] + 0.1436 L-proline[c] + 0.8137 L-serine[c] + 0.4308 L-threonine[c] + 0.1915 L-tryptophan[c] + 0.1915 L-tyrosine[c] + 0.3829 L-valine[c] + 0.36 GTP[c] => glucagon[c] + 0.36 GDP[c] + 0.36 phosphate[c]		0	0	1000					0.1			YEP	glucose		
Glucagon	Glucagon_2	glucagon transport	glucagon[c] => glucagon[e]		0	0	1000											
Glucagon	Glucagon_3	glucagon exchange	glucagon[e] =>		1	0	1000											
																		
Glycolate	Glycolate_1	glycolate transport	glycolate[c] => glycolate[e]		0	0	1000					0.1			Min	glucose		
Glycolate	Glycolate_2	glycolate exchange	glycolate[e] =>		1	0	1000											
																		
L-phenylacetylcarbinol	L-phenylacetylcarbinol_1	benzaldehyde exchange	 => benzaldehyde[e]		0	0	1					0.13	2	1	YEP	glucose		
L-phenylacetylcarbinol	L-phenylacetylcarbinol_2	benzaldehyde transport	benzaldehyde[e] => benzaldehyde[c]		0	0	1000											
L-phenylacetylcarbinol	L-phenylacetylcarbinol_3	pyruvate decarboxylase (arm)	pyruvate[c] + benzaldehyde[c] => pmet_r_3[c]		0	0	1000											
L-phenylacetylcarbinol	L-phenylacetylcarbinol_4	pyruvate decarboxylase (No1)	pmet_r_3[c] => L-phenylacetylcarbinol[c]  + carbon dioxide[c]	YGR087C	0	0	1000	P26263	62									
L-phenylacetylcarbinol	L-phenylacetylcarbinol_5	pyruvate decarboxylase (No2)	pmet_r_3[c] => L-phenylacetylcarbinol[c]  + carbon dioxide[c]	YLR044C	0	0	1000	P06169	144.9999									
L-phenylacetylcarbinol	L-phenylacetylcarbinol_6	pyruvate decarboxylase (No3)	pmet_r_3[c] => L-phenylacetylcarbinol[c]  + carbon dioxide[c]	YLR134W	0	0	1000	P16467	62									
L-phenylacetylcarbinol	L-phenylacetylcarbinol_7	L-PAC transport	L-phenylacetylcarbinol[c] => L-phenylacetylcarbinol[e]		0	0	1000											
L-phenylacetylcarbinol	L-phenylacetylcarbinol_8	L-PAC exchange	L-phenylacetylcarbinol[e] =>		1	0	1000											
L-phenylacetylcarbinol	L-phenylacetylcarbinol_9	Alcohol dehydrogenase 1	benzaldehyde[c] + NADH[c] => benzylalcohol[c] + NAD[c]	YOL086C	0	0	1000	P00330										
L-phenylacetylcarbinol	L-phenylacetylcarbinol_10	benzylalcohol transport	benzylalcohol[c] => benzylalcohol[e]		0	0	1000											
L-phenylacetylcarbinol	L-phenylacetylcarbinol_11	benzylalcohol exchange	benzylalcohol[e] =>		0	0	1000											
L-phenylacetylcarbinol	L-phenylacetylcarbinol_12	Benzaldehyde oxidase	benzaldehyde[c] + oxygen[c] => Benzoic Acid[c]		0	0	1000											
L-phenylacetylcarbinol	L-phenylacetylcarbinol_13	Benzoic Acid transport	Benzoic Acid[c] => Benzoic Acid[e]		0	0	1000											
